From,To,Weight
2172812859,2082501658,3
2082501658,241289278,3
2725369923,2062386150,1
2725369923,2611825001,1
2611825001,2062386150,1
2084372447,2105538526,1
1815419264,2105538526,1
1815419264,2084372447,1
2080757493,2023559682,1
2148802362,2023559682,1
2148802362,2080757493,1
2605129895,2305352395,1
2588863623,2498951274,1
2588863623,2108339900,1
2588863623,2291328752,1
2588863623,2137176973,1
2588863623,2035597422,1
2588863623,2114095759,1
2498951274,2108339900,1
2498951274,2291328752,1
2498951274,2137176973,1
2498951274,2035597422,2
2498951274,2114095759,1
2291328752,2108339900,1
2137176973,2108339900,1
2108339900,2035597422,2
2114095759,2108339900,1
2291328752,2137176973,1
2291328752,2035597422,2
2291328752,2114095759,1
2137176973,2035597422,1
2137176973,2114095759,2
2114095759,2035597422,2
725070507,2133561768,1
2617990450,2092393475,1
2918752812,2092393475,1
2918752812,2617990450,1
2892676761,2105066742,2
2212776008,2938498113,1
2805503700,2117624600,2
2805503700,2438731512,4
2805503700,2604367054,1
2805503700,2322263594,6
2438731512,2117624600,2
2604367054,2117624600,1
2322263594,2117624600,2
2604367054,2438731512,1
2438731512,2322263594,4
2604367054,2322263594,1
734494555,147013626,1
2031234607,147013626,1
2637622308,147013626,1
2510253455,147013626,1
2618454474,147013626,1
2130524083,147013626,1
2777847817,147013626,1
2031234607,734494555,1
2307931228,734494555,1
2637622308,734494555,1
2510253455,734494555,1
2618454474,734494555,1
2130524083,734494555,1
2777847817,734494555,1
1984592486,734494555,1
2307931228,2031234607,1
2637622308,2031234607,1
2510253455,2031234607,1
2618454474,2031234607,1
2130524083,2031234607,1
2777847817,2031234607,1
2031234607,1984592486,1
2637622308,2307931228,1
2510253455,2307931228,1
2618454474,2307931228,1
2307931228,2130524083,1
2777847817,2307931228,1
2637622308,2510253455,1
2637622308,2618454474,1
2637622308,2130524083,1
2777847817,2637622308,1
2637622308,1984592486,1
2618454474,2510253455,1
2510253455,2130524083,1
2777847817,2510253455,1
2510253455,1984592486,1
2618454474,2130524083,1
2777847817,2618454474,1
2618454474,1984592486,1
2777847817,2130524083,1
2130524083,1984592486,1
2777847817,1984592486,2
2810641159,1845199564,1
2810641159,2097533992,1
2097533992,1845199564,1
2776898996,2612606007,1
2776898996,2161618671,1
2776898996,2290308898,1
2612606007,2161618671,1
2612606007,2290308898,1
2290308898,2161618671,1
2117006983,2106217245,1
2142156605,2117006983,1
2142156605,2106217245,1
2158146792,2117062376,1
2166349599,2117062376,1
2154425329,2117062376,1
2493627917,2117062376,1
2505878900,2117062376,1
2166349599,2158146792,1
2158146792,2154425329,1
2493627917,2158146792,1
2505878900,2158146792,1
2166349599,2154425329,1
2493627917,2166349599,1
2505878900,2166349599,1
2493627917,2154425329,1
2505878900,2154425329,1
2505878900,2493627917,1
2001182112,2672042840,1
1687740347,2672042840,1
1687740347,2001182112,1
2785822146,1959313252,1
2785822146,512662712,1
2785822146,2099086485,1
1959313252,512662712,1
2099086485,1959313252,4
2099086485,512662712,1
2800400025,1894162589,1
2800400025,1834974074,1
2800400025,2073196788,1
2800400025,2522007272,1
1894162589,1834974074,1
2073196788,1894162589,1
2522007272,1894162589,1
2073196788,1834974074,1
2522007272,1834974074,1
2522007272,2073196788,1
2788943291,2433408337,1
2693982207,2433408337,1
2433408337,2109092734,2
2433408337,2133198171,2
2788943291,2693982207,1
2788943291,2109092734,1
2788943291,2133198171,1
2693982207,2109092734,1
2693982207,2133198171,1
2133198171,2109092734,2
2111635597,669266039,2
2015848640,669266039,2
2111635597,2015848640,2
2800385328,2470066632,1
2800385328,2473114398,1
2800385328,2115794654,1
2473114398,2470066632,1
2470066632,2115794654,2
2473114398,2115794654,1
2980710956,2656256758,1
2656256758,2625523953,1
2980710956,2625523953,1
2581822976,3016540093,1
2242846294,3016540093,1
2242846294,2581822976,1
2312749773,1173742685,1
2312749773,2145857513,1
2145857513,1173742685,1
2250437319,2101388286,1
2678998810,2250437319,1
2250437319,630503408,1
2678998810,2101388286,1
2101388286,630503408,1
2678998810,630503408,1
2579258004,2097383277,1
2579258004,2152246792,1
2152246792,2097383277,1
1979261613,1879892137,2
1982346297,1879892137,1
1879892137,1020315735,1
1982346297,1979261613,1
1979261613,1020315735,1
1982346297,1020315735,1
2584902656,2464684916,1
2433709825,2114084082,1
2148209464,2114084082,1
2114084082,2104476514,1
2569971984,2114084082,1
2250424234,2114084082,1
2114084082,1652214885,1
2433709825,2148209464,2
2433709825,2104476514,1
2569971984,2433709825,1
2433709825,2250424234,1
2433709825,1652214885,1
2148209464,2104476514,1
2569971984,2148209464,1
2250424234,2148209464,1
2148209464,1652214885,1
2569971984,2104476514,1
2250424234,2104476514,1
2104476514,1652214885,1
2569971984,2250424234,1
2569971984,1652214885,1
2250424234,1652214885,1
2557172173,2220481900,1
2220481900,2200973956,1
2220481900,1895840757,2
2220481900,1980906437,1
2220481900,2022769202,1
2557172173,2200973956,2
2557172173,1895840757,1
2557172173,1980906437,1
2557172173,2022769202,2
2200973956,1895840757,1
2200973956,1980906437,1
2200973956,2022769202,2
1980906437,1895840757,1
2022769202,1895840757,1
2022769202,1980906437,1
2107411516,2130478153,1
1569449108,2130478153,2
1569449108,2107411516,1
1973759261,630797979,1
2140268221,1973759261,2
2071230401,1973759261,2
2140268221,630797979,1
2071230401,630797979,1
2140268221,2071230401,1
2431841966,3037835416,1
2993678643,2789916842,1
2993678643,2648775070,1
2993678643,2570456935,1
3019243436,2993678643,9
2789916842,2648775070,1
2789916842,2570456935,1
3019243436,2789916842,1
2648775070,2570456935,1
3019243436,2648775070,1
3019243436,2570456935,1
2654640365,1140726602,1
2438616317,1140726602,1
2261601473,1140726602,1
2155994924,1140726602,1
2597749516,1140726602,2
2654640365,2438616317,1
2654640365,2261601473,1
2654640365,2155994924,1
2654640365,2597749516,1
2438616317,2261601473,1
2438616317,2155994924,1
2597749516,2438616317,1
2261601473,2155994924,1
2597749516,2261601473,1
2597749516,2155994924,1
2172111964,2246450106,1
2529143971,2160209690,1
2160209690,2086844957,2
2160209690,1227288424,2
2160209690,2139486911,2
2529143971,2086844957,1
2529143971,1227288424,1
2529143971,2139486911,1
2086844957,1227288424,2
2139486911,2086844957,2
2139486911,1227288424,2
2032513802,1978168976,1
2152246792,1978168976,1
2152246792,2032513802,1
2422217012,2107148473,2
2629553850,2107148473,1
2629553850,2422217012,1
2794285133,597169202,2
2899858271,2025394065,1
2098515685,1996606470,1
